Geography,16-17 Year Olds,18-24 Year Olds,25-34 Year Olds,35-44 Year Olds,45-54 Year Olds,55-64 Year Olds,65-74 Year Olds,75+ Year Olds,Age Unknown,Quarter
ENGLAND,430,13170,22080,19510,11610,6480,2530,910,100,2024-12
London,50,2330,4870,4240,2990,1780,660,250,90,2024-12
Rest of England,390,10850,17210,15270,8620,4690,1880,670,0,2024-12
ENGLAND,500,14230,23530,20790,12550,7140,2920,1160,60,2024-09
London,70,2360,4870,4340,3020,1850,760,240,50,2024-09
Rest of England,430,11880,18650,16450,9530,5290,2170,920,10,2024-09
ENGLAND,510,14430,24380,21940,12510,7210,2750,1030,10,2024-06
London,70,2370,5280,4540,3000,1850,710,190,0,2024-06
Rest of England,440,12060,19100,17400,9500,5360,2040,840,10,2024-06
ENGLAND,500,15270,26200,22420,12770,7220,2770,1020,530,2024-03
London,50,2490,5260,4500,3040,1690,650,210,520,2024-03
Rest of England,450,12780,20930,17920,9730,5520,2120,810,10,2024-03
ENGLAND,490,13810,23970,20670,11870,6520,2510,910,30,2023-12
London,40,2320,5020,4400,2860,1640,680,170,20,2023-12
Rest of England,450,11490,18950,16280,9020,4880,1840,740,10,2023-12
ENGLAND,570,14480,23600,20320,11670,6470,2500,930,10,2023-09
London,80,2220,4280,3750,2510,1490,550,200,10,2023-09
Rest of England,490,12250,19320,16570,9160,4990,1960,720,0,2023-09
ENGLAND,570,13390,22000,19500,11050,6190,2430,900,10,2023-06
London,50,2020,4050,3840,2430,1460,570,150,10,2023-06
Rest of England,530,11370,17950,15660,8620,4730,1860,760,0,2023-06
ENGLAND,580,14350,24310,20760,11880,6540,2460,940,10,2023-03
London,50,2150,4300,3780,2510,1400,510,150,0,2023-03
Rest of England,520,12200,20010,16980,9370,5140,1950,800,10,2023-03
ENGLAND,580,12380,20980,18360,10500,5500,2150,770,60,2022-12
London,70,2110,4030,3710,2270,1270,490,130,50,2022-12
Rest of England,510,10270,16950,14650,8230,4230,1670,650,10,2022-12
ENGLAND,590,13410,22260,18320,10870,5810,2260,800,70,2022-09
London,40,2200,4180,3470,2340,1310,480,150,60,2022-09
Rest of England,550,11200,18080,14850,8530,4500,1780,650,10,2022-09
ENGLAND,590,12780,20960,17470,10170,5590,2150,850,80,2022-06
London,60,2080,3840,3350,2130,1290,440,140,70,2022-06
Rest of England,530,10700,17130,14120,8040,4300,1710,720,20,2022-06
ENGLAND,630,13820,23090,18580,11020,5800,2160,830,120,2022-03
London,70,2090,4040,3350,2100,1200,420,130,90,2022-03
Rest of England,560,11730,19050,15240,8920,4600,1730,700,30,2022-03
ENGLAND,590,12350,20120,16310,9630,5040,1820,710,60,2021-12
London,60,1970,3700,2930,1960,1120,390,130,50,2021-12
Rest of England,540,10380,16430,13380,7670,3920,1430,580,10,2021-12
ENGLAND,660,13350,21020,16200,9640,4870,1830,700,40,2021-09
London,70,2190,3830,3050,2010,1070,380,110,30,2021-09
Rest of England,600,11160,17190,13150,7640,3800,1460,590,10,2021-09
ENGLAND,660,13890,20890,15880,9020,4540,1510,590,60,2021-06
London,60,2360,3950,3180,1950,1070,340,100,60,2021-06
Rest of England,600,11530,16940,12700,7070,3470,1170,490,0,2021-06
ENGLAND,640,15280,22750,15940,9390,4350,1440,550,60,2021-03
London,70,2470,4130,2900,1800,940,290,80,50,2021-03
Rest of England,560,12810,18630,13040,7590,3410,1150,480,10,2021-03
